detector (E),detector (H)
[0. 0. 0.],[3.4651881e-07 0.0000000e+00 0.0000000e+00]
[ 0.00000000e+00  0.00000000e+00 -1.36263074e-06],[ 1.74501364e-06 -2.07267110e-06  0.00000000e+00]
[ 0.0000000e+00  0.0000000e+00 -6.7106736e-06],[-5.99098344e-07  1.05305433e-05  0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -8.37924116e-06],[-9.08325737e-06  2.74172350e-05  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 3.78399404e-06],[-7.82952239e-06  2.78781665e-05  0.00000000e+00]
[0.0000000e+00 0.0000000e+00 6.9874262e-06],[-1.19450514e-05  2.47256553e-05  0.00000000e+00]
[0.0000000e+00 0.0000000e+00 4.2238634e-05],[-2.33056266e-05 -6.18698225e-06  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 3.47063072e-05],[ 3.52581387e-06 -1.65652036e-05  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 6.01461817e-05],[-3.82913555e-05 -6.29733634e-05  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 5.12712108e-05],[ 2.19870139e-05 -6.10025140e-05  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 3.15545883e-05],[-2.33451817e-05 -8.06729747e-05  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 3.01407284e-05],[ 2.26116348e-05 -6.51729998e-05  0.00000000e+00]
[ 0.0000000e+00  0.0000000e+00 -2.6539944e-05],[ 3.3912635e-06 -4.1643209e-05  0.0000000e+00]
[ 0.00000000e+00  0.00000000e+00 -1.38393797e-05],[ 1.03477889e-05 -2.36535243e-05  0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -7.06047082e-05],[2.16508667e-05 2.28466845e-05 0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -5.42874159e-05],[-3.93634980e-06  3.63734343e-05  0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -7.05184076e-05],[2.89621182e-05 7.04806701e-05 0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -6.91741738e-05],[-2.16404159e-05  7.74247310e-05  0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -2.13982294e-05],[1.67245620e-05 7.49035423e-05 0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -3.52953237e-05],[-4.22496890e-05  7.25782748e-05  0.00000000e+00]
[0.0000000e+00 0.0000000e+00 4.9235203e-05],[-3.48579958e-06  4.05464721e-05  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 2.31965017e-05],[-2.71129844e-05  3.32795082e-05  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 8.40602974e-05],[-8.61568916e-06 -2.25528139e-06  0.00000000e+00]
[0.0000000e+00 0.0000000e+00 5.4740861e-05],[-6.84590898e-06 -1.03226111e-05  0.00000000e+00]
[0.         0.         0.00010685],[-1.95250767e-05 -5.04610545e-05  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 8.36908662e-05],[-1.94993220e-05 -5.71317737e-05  0.00000000e+00]
[0.         0.         0.00011949],[-2.20635688e-05 -8.85601882e-05  0.00000000e+00]
[0.         0.         0.00010415],[ 7.45923143e-06 -9.22119613e-05  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 6.00403147e-05],[-2.46519877e-05 -8.49273870e-05  0.00000000e+00]
[0.000000e+00 0.000000e+00 8.732208e-05],[ 3.83013833e-05 -9.88892255e-05  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 1.88727245e-05],[-2.23359460e-05 -7.79651245e-05  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 4.11152638e-05],[ 1.37787598e-05 -8.39223182e-05  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 1.17565644e-05],[-5.86838662e-06 -7.22029834e-05  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 1.80733057e-05],[ 4.82015301e-06 -7.05382327e-05  0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -3.73573016e-05],[-9.53339935e-06 -3.80525243e-05  0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -5.66803235e-06],[ 4.13177396e-05 -4.98864711e-05  0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -9.01146888e-05],[ 3.96315764e-06 -4.67932526e-06  0.00000000e+00]
[ 0.0000000e+00  0.0000000e+00 -4.4392842e-05],[ 2.84720696e-06 -2.17953957e-05  0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -6.81984312e-05],[-2.88640745e-05 -2.23664584e-06  0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -3.45796962e-05],[ 4.66345950e-06 -8.27710694e-06  0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -7.62780152e-05],[4.76266245e-05 1.35804169e-05 0.00000000e+00]
[ 0.          0.         -0.00012518],[5.47099308e-07 4.20018444e-05 0.00000000e+00]
[ 0.          0.         -0.00010515],[-7.86484671e-06  2.81068873e-05  0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -4.90971267e-05],[-1.25417104e-05  1.88381416e-05  0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -7.57516555e-05],[4.50122280e-07 2.99512176e-05 0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -9.02127207e-05],[4.17763633e-06 3.65994192e-05 0.00000000e+00]
[ 0.         0.        -0.0001159],[1.76114916e-05 5.47698794e-05 0.00000000e+00]
[ 0.0000000e+00  0.0000000e+00 -9.7457715e-05],[2.76714111e-06 4.14147981e-05 0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -9.58504284e-05],[-6.66923428e-06  4.32846428e-05  0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -5.55528018e-05],[-1.29620021e-05  2.59712906e-05  0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -9.99606468e-05],[-1.54100232e-06  4.49029628e-05  0.00000000e+00]
[ 0.          0.         -0.00011391],[-1.18147459e-06  4.84404381e-05  0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -9.91784246e-05],[8.38971195e-06 4.03897103e-05 0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -4.96221258e-05],[5.52319601e-06 1.51997879e-05 0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -9.22962191e-05],[-9.21201855e-06  2.91892362e-05  0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -8.40465402e-05],[-1.70498648e-05  1.92093251e-05  0.00000000e+00]
[ 0.          0.         -0.00010736],[-1.30156590e-05  3.01303244e-05  0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -6.60008266e-05],[2.41196903e-06 1.80254789e-06 0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -5.75936598e-05],[ 1.76895805e-06 -6.78073539e-06  0.00000000e+00]
[ 0.0000000e+00  0.0000000e+00 -1.0743924e-05],[ 1.32459858e-05 -2.90073718e-05  0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -7.28478177e-05],[-1.31874332e-05 -2.11187044e-05  0.00000000e+00]
