detector (E),detector (H)
[0. 0. 0.],[-4.29891373e-06  0.00000000e+00  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 1.97415757e-05],[ 1.11440686e-05 -2.54302233e-05  0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -6.33592887e-05],[5.16669253e-05 3.42875014e-05 0.00000000e+00]
[ 0.          0.         -0.00020639],[6.28062894e-06 1.90069024e-04 0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -9.61830786e-05],[-5.01263360e-05  1.67940336e-04  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 9.22719364e-05],[-2.11961702e-04 -1.81800504e-05  0.00000000e+00]
[0.         0.         0.00053067],[-9.71850889e-05 -3.74184107e-04  0.00000000e+00]
[0.         0.         0.00032202],[-0.00010248 -0.00037471  0.        ]
[0.         0.         0.00044194],[-7.16483127e-06 -4.63331675e-04  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 3.34454321e-05],[ 0.00017345 -0.00015944  0.        ]
[ 0.          0.         -0.00029035],[2.99563712e-05 1.22935944e-04 0.00000000e+00]
[ 0.          0.         -0.00027457],[0.00020167 0.00028256 0.        ]
[ 0.          0.         -0.00056972],[-1.49142988e-05  5.21576398e-04  0.00000000e+00]
[ 0.          0.         -0.00020674],[-4.09839074e-05  3.71710489e-04  0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -9.16789669e-05],[-5.48377160e-05  2.64942776e-04  0.00000000e+00]
[0.         0.         0.00016938],[-2.39708744e-04 -1.55994985e-06  0.00000000e+00]
[0.         0.         0.00050282],[-6.36758782e-05 -2.89309101e-04  0.00000000e+00]
[0.         0.         0.00046264],[-0.00018577 -0.00042681  0.        ]
[0.        0.        0.0006339],[-2.65867343e-05 -5.77590967e-04  0.00000000e+00]
[0.         0.         0.00035896],[-2.70726964e-05 -4.94239198e-04  0.00000000e+00]
[0.         0.         0.00026109],[ 8.40121529e-06 -4.06780916e-04  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 4.56798476e-05],[ 0.00016395 -0.00021705  0.        ]
[ 0.          0.         -0.00021186],[ 3.71858880e-05 -3.42688785e-06  0.00000000e+00]
[ 0.         0.        -0.0003524],[0.00014376 0.00021071 0.        ]
[ 0.          0.         -0.00053894],[2.31483647e-05 3.97613289e-04 0.00000000e+00]
[ 0.          0.         -0.00041934],[0.00011376 0.00042702 0.        ]
[ 0.          0.         -0.00052017],[8.03653541e-06 5.27822859e-04 0.00000000e+00]
[ 0.          0.         -0.00027539],[4.26051057e-05 4.28021442e-04 0.00000000e+00]
[ 0.          0.         -0.00032233],[-6.45929403e-05  4.41026293e-04  0.00000000e+00]
[ 0.          0.         -0.00011545],[-0.00010728  0.00029728  0.        ]
[0.00000000e+00 0.00000000e+00 6.98758105e-05],[-9.34720975e-06  1.56882213e-04  0.00000000e+00]
